快捷键|前提条件|说明
---|---|---
F2|已选中任意文件或文件夹|重命名
F5|无|刷新
Enter|仅选中一个文件或文件夹|使用关联程序打开文件或进入文件夹
Back|无|导航至上一个文件夹
Space|Quicklook正在运行且已选中任意文件或文件夹|使用Quicklook查看相关信息
Esc|无|关闭预览程序窗口或退出内置查看器
Delete|选中任意文件或文件夹|删除文件或文件夹
Ctrl + L|无|激活地址栏
Ctrl + V|无|粘贴
Ctrl + A|无|全选所有文件和文件夹
Ctrl + C|选中任意文件或文件夹|复制文件或文件夹
Ctrl + X|选中任意文件或文件夹|剪切文件或文件夹
Ctrl + D|选中任意文件或文件夹|删除文件或文件夹
Ctrl + F|无|激活搜索栏
Ctrl + Z|存在相应的记录|撤销前一次操作
Ctrl + T|未选中或仅选中一个文件夹|在新标签页中打开指定的文件夹。若未选中任何文件夹，则仅创建新标签页
Ctrl + Q|仅选中一个文件夹|在新窗口中打开指定的文件夹
Ctrl + B|无|若仅选中一个文件夹，则在新的垂直拆分窗口中打开指定的文件夹。其余情况都将在新的垂直拆分窗口中打开当前文件夹
Ctrl + E|无|清空回收站
Ctrl + R|选中任意文件或文件夹|还原所有选中的回收站文件
Ctrl + W|无|关闭当前标签页
Ctrl + U|选中一个已由Bitlocker加密的驱动器|解锁已被加密的驱动器
Ctrl + 鼠标滚轮|无|更改文件显示模式
Ctrl + 鼠标双击|选中任意文件夹|在新标签页中打开指定的文件夹
Ctrl + Tab|已打开多个标签页|向右切换标签页
Ctrl + PageUp|无|切换至左侧的标签页
Ctrl + PageDown|无|切换至右侧的标签页
Shift + E|无|使用系统文件管理器打开当前文件夹
Shift + T|无|根据设置中的配置来启动相应的终端
Alt + Left|无|导航至上一个文件夹
Alt + Right|无|导航至下一个文件夹
Alt + Enter|仅选中一个文件或一个文件夹|启动属性窗口
Alt + 鼠标双击|仅选中一个文件或一个文件夹|启动属性窗口
Ctrl + Shift + N|无|新建文件夹
Ctrl + Shift + C|无|复制选中项的路径。若未选中任何文件，则复制当前文件夹的路径
Ctrl + Shift + Tab|已打开多个标签页|向左切换标签页
